Plate,Repeat,Well,Type,Time,Absorbance @ 405 (0.1s) (A),label
1,12,A05,M,00:15:28.72,0.784,GSH 32
1,12,A06,M,00:15:29.61,1.031,GSH 40
1,12,A07,M,00:15:30.50,0.246,PC 2
1,12,A08,M,00:15:31.38,0.114,PC 10
1,12,A09,M,00:15:32.27,0.238,PC 20
1,12,A10,M,00:15:33.16,0.293,A1
1,12,A11,M,00:15:34.05,0.284,A1
1,12,A12,M,00:15:34.94,0.300,A1
1,12,B01,M,00:15:38.28,0.283,A2
1,12,B02,M,00:15:39.16,0.297,A2
1,12,B03,M,00:15:40.05,0.301,A2
1,12,B04,M,00:15:40.94,0.235,B1
1,12,B05,M,00:15:41.83,0.223,B1
1,12,B06,M,00:15:42.72,0.226,B1
1,12,B07,M,00:15:43.61,0.274,B2
1,12,B08,M,00:15:44.50,0.235,B2
1,12,B09,M,00:15:45.38,0.231,B2
1,12,B10,M,00:15:46.27,0.207,B3
1,12,B11,M,00:15:47.16,0.244,B3
1,12,B12,M,00:15:48.05,0.180,B3
1,12,C01,M,00:15:51.39,0.187,B4
1,12,C02,M,00:15:52.27,0.278,B4
1,12,C03,M,00:15:53.16,0.184,B4
1,12,C04,M,00:15:54.05,0.160,C1
1,12,C05,M,00:15:54.94,0.141,C1
1,12,C06,M,00:15:55.83,0.139,C1
1,12,C07,M,00:15:56.72,0.156,C2
1,12,C08,M,00:15:57.61,0.145,C2
1,12,C09,M,00:15:58.50,0.143,C2
1,12,C10,M,00:15:59.38,0.242,D2
1,12,C11,M,00:16:00.27,0.242,D2
1,12,C12,M,00:16:01.16,0.246,D2
1,12,D01,M,00:16:04.50,0.221,D3
1,12,D02,M,00:16:05.38,0.214,D3
1,12,D03,M,00:16:06.27,0.213,D3
1,12,D04,M,00:16:07.16,0.224,A3
1,12,D05,M,00:16:08.05,0.221,A3
1,12,D06,M,00:16:08.94,0.225,A3
1,13,A01,M,00:16:47.60,0.077,GSH 0
1,13,A02,M,00:16:48.49,0.204,GSH 8
1,13,A03,M,00:16:49.38,0.350,GSH 16
1,13,A04,M,00:16:50.27,0.557,GSH 24
1,13,A05,M,00:16:51.16,0.781,GSH 32
1,13,A06,M,00:16:52.05,1.027,GSH 40
1,13,A07,M,00:16:52.94,0.250,PC 2
1,13,A08,M,00:16:53.83,0.116,PC 10
1,13,A09,M,00:16:54.72,0.242,PC 20
1,13,A10,M,00:16:55.61,0.296,A1
1,13,A11,M,00:16:56.50,0.287,A1
1,13,A12,M,00:16:57.38,0.302,A1
1,13,B01,M,00:17:00.72,0.286,A2
1,13,B02,M,00:17:01.61,0.300,A2
1,13,B03,M,00:17:02.49,0.303,A2
1,13,B04,M,00:17:03.38,0.236,B1
1,13,B05,M,00:17:04.27,0.225,B1
1,13,B06,M,00:17:05.16,0.227,B1
1,13,B07,M,00:17:06.05,0.274,B2
1,13,B08,M,00:17:06.94,0.237,B2
1,13,B09,M,00:17:07.83,0.232,B2
1,13,B10,M,00:17:08.72,0.208,B3
1,13,B11,M,00:17:09.61,0.245,B3
1,13,B12,M,00:17:10.49,0.181,B3
1,13,C01,M,00:17:13.83,0.188,B4
1,13,C02,M,00:17:14.72,0.279,B4
1,13,C03,M,00:17:15.61,0.185,B4
1,13,C04,M,00:17:16.49,0.160,C1
1,13,C05,M,00:17:17.38,0.142,C1
1,13,C06,M,00:17:18.27,0.142,C1
1,13,C07,M,00:17:19.16,0.158,C2
1,13,C08,M,00:17:20.05,0.146,C2
1,13,C09,M,00:17:20.94,0.144,C2
1,13,C10,M,00:17:21.83,0.247,D2
1,13,C11,M,00:17:22.72,0.247,D2
1,13,C12,M,00:17:23.61,0.251,D2
1,13,D01,M,00:17:26.94,0.227,D3
1,13,D02,M,00:17:27.83,0.219,D3
