Plate,Repeat,Well,Type,Time,Absorbance @ 405 (0.1s) (A),
1,8,C11,M,00:32:57.95,0.235,
1,8,C12,M,00:32:58.84,0.235,
1,8,D01,M,00:33:02.17,0.300,
1,8,D02,M,00:33:03.06,0.315,
1,8,D03,M,00:33:03.95,0.297,
1,8,D04,M,00:33:04.84,0.216,
1,8,D05,M,00:33:05.72,0.180,
1,8,D06,M,00:33:06.61,0.190,
1,8,D07,M,00:33:07.50,0.146,
1,8,D08,M,00:33:08.39,0.164,
1,8,D09,M,00:33:09.28,0.153,
1,8,D10,M,00:33:10.17,0.188,
1,8,D11,M,00:33:11.06,0.198,
1,8,D12,M,00:33:11.95,0.184,
1,8,E01,M,00:33:15.28,0.381,
1,8,E02,M,00:33:16.17,0.345,
1,8,E03,M,00:33:17.06,0.344,
1,8,E04,M,00:33:17.95,0.130,
1,8,E05,M,00:33:18.84,0.149,
1,8,E06,M,00:33:19.72,0.143,
1,8,E07,M,00:33:20.61,0.223,
1,8,E08,M,00:33:21.50,0.210,
1,8,E09,M,00:33:22.39,0.215,
